code_atu,description,source_url
A0,Creator.,https://www.ruthenia.ru/folklore/thompson/a.htm
A10,Nature of the creator.,https://www.ruthenia.ru/folklore/thompson/a.htm
A20,Origin of the creator.,https://www.ruthenia.ru/folklore/thompson/a.htm
A30,Creator,https://www.ruthenia.ru/folklore/thompson/a.htm
A40,Creator,https://www.ruthenia.ru/folklore/thompson/a.htm
A50,Conflict of good and evil creators.,https://www.ruthenia.ru/folklore/thompson/a.htm
A60,Marplot at creation.,https://www.ruthenia.ru/folklore/thompson/a.htm
A70,Creator: miscellaneous motifs.,https://www.ruthenia.ru/folklore/thompson/a.htm
A100,Deity.,https://www.ruthenia.ru/folklore/thompson/a.htm
A110,Origin of the gods.,https://www.ruthenia.ru/folklore/thompson/a.htm
A120,Nature and appearance of the gods.,https://www.ruthenia.ru/folklore/thompson/a.htm
A140,Gods as workmen.,https://www.ruthenia.ru/folklore/thompson/a.htm
A150,Daily life of the gods.,https://www.ruthenia.ru/folklore/thompson/a.htm
A160,Mutual relations of the gods.,https://www.ruthenia.ru/folklore/thompson/a.htm
A170,Deeds of the gods.,https://www.ruthenia.ru/folklore/thompson/a.htm
A180,Gods in relation to mortals.,https://www.ruthenia.ru/folklore/thompson/a.htm
A190,Gods: miscellaneous motifs.,https://www.ruthenia.ru/folklore/thompson/a.htm
A200,God of the upper world.,https://www.ruthenia.ru/folklore/thompson/a.htm
A210,Sky-god.,https://www.ruthenia.ru/folklore/thompson/a.htm
A220,Sun-god.,https://www.ruthenia.ru/folklore/thompson/a.htm
A240,Moon-god.,https://www.ruthenia.ru/folklore/thompson/a.htm
A250,Star-god.,https://www.ruthenia.ru/folklore/thompson/a.htm
A260,God of light.,https://www.ruthenia.ru/folklore/thompson/a.htm
A270,God of dawn.,https://www.ruthenia.ru/folklore/thompson/a.htm
A280,Weather-god.,https://www.ruthenia.ru/folklore/thompson/a.htm
A300,God of the underworld.,https://www.ruthenia.ru/folklore/thompson/a.htm
A310,God of the world of the dead.,https://www.ruthenia.ru/folklore/thompson/a.htm
A400,God of earth.,https://www.ruthenia.ru/folklore/thompson/a.htm
A410,Local gods.,https://www.ruthenia.ru/folklore/thompson/a.htm
A420,God of water.,https://www.ruthenia.ru/folklore/thompson/a.htm
A430,God of vegetation.,https://www.ruthenia.ru/folklore/thompson/a.htm
A440,God of animals.,https://www.ruthenia.ru/folklore/thompson/a.htm
A450,God of trades and professions.,https://www.ruthenia.ru/folklore/thompson/a.htm
A460,Gods of abstractions.,https://www.ruthenia.ru/folklore/thompson/a.htm
A490,Miscellaneous gods of the earth.,https://www.ruthenia.ru/folklore/thompson/a.htm
A500,Demigods and culture heroes.,https://www.ruthenia.ru/folklore/thompson/a.htm
A510,Origin of the culture hero (demigod).,https://www.ruthenia.ru/folklore/thompson/a.htm
A520,Nature of the culture hero (demigod).,https://www.ruthenia.ru/folklore/thompson/a.htm
A530,Culture hero establishes law and order.,https://www.ruthenia.ru/folklore/thompson/a.htm
A560,Culture hero,https://www.ruthenia.ru/folklore/thompson/a.htm
A570,Culture hero still lives.,https://www.ruthenia.ru/folklore/thompson/a.htm
A580,Culture hero,https://www.ruthenia.ru/folklore/thompson/a.htm
A590,Demigods and culture heroes--miscellaneous.,https://www.ruthenia.ru/folklore/thompson/a.htm
A600,Creation of the universe.,https://www.ruthenia.ru/folklore/thompson/a.htm
A610,Creation of universe by creator.,https://www.ruthenia.ru/folklore/thompson/a.htm
A620,Spontaneous creation of universe.,https://www.ruthenia.ru/folklore/thompson/a.htm
A630,Series of creations.,https://www.ruthenia.ru/folklore/thompson/a.htm
A640,Other means of creating the universe.,https://www.ruthenia.ru/folklore/thompson/a.htm
A650,The universe as a whole.,https://www.ruthenia.ru/folklore/thompson/a.htm
A660,Nature of the upper world.,https://www.ruthenia.ru/folklore/thompson/a.htm
A670,Nature of the lower world.,https://www.ruthenia.ru/folklore/thompson/a.htm
A690,Miscellaneous worlds.,https://www.ruthenia.ru/folklore/thompson/a.htm
A700,Creation of the heavenly bodies.,https://www.ruthenia.ru/folklore/thompson/a.htm
A710,Creation of the sun.,https://www.ruthenia.ru/folklore/thompson/a.htm
A720,Nature and condition of the sun.,https://www.ruthenia.ru/folklore/thompson/a.htm
A740,Creation of the moon.,https://www.ruthenia.ru/folklore/thompson/a.htm
A750,Nature and condition of the moon.,https://www.ruthenia.ru/folklore/thompson/a.htm
A760,Creation and condition of the stars.,https://www.ruthenia.ru/folklore/thompson/a.htm
A770,Origin of particular stars.,https://www.ruthenia.ru/folklore/thompson/a.htm
A780,"The planets (comets, etc.",https://www.ruthenia.ru/folklore/thompson/a.htm
A790,The heavenly lights.,https://www.ruthenia.ru/folklore/thompson/a.htm
A800,Creation of the earth.,https://www.ruthenia.ru/folklore/thompson/a.htm
A810,Primeval water: In the beginning everything is covered with,https://www.ruthenia.ru/folklore/thompson/a.htm
A820,Other means of creation of earth.,https://www.ruthenia.ru/folklore/thompson/a.htm
A830,Creation of earth by creator.,https://www.ruthenia.ru/folklore/thompson/a.htm
A840,Support of the earth.,https://www.ruthenia.ru/folklore/thompson/a.htm
A850,Changes in the,https://www.ruthenia.ru/folklore/thompson/a.htm
A870,Nature and,https://www.ruthenia.ru/folklore/thompson/a.htm
A910,Origin of water,https://www.ruthenia.ru/folklore/thompson/a.htm
A920,Origin of the,https://www.ruthenia.ru/folklore/thompson/a.htm
A930,Origin of streams.,https://www.ruthenia.ru/folklore/thompson/a.htm
A940,Origin of other,https://www.ruthenia.ru/folklore/thompson/a.htm
A950,Origin of the,https://www.ruthenia.ru/folklore/thompson/a.htm
A960,Creation of,https://www.ruthenia.ru/folklore/thompson/a.htm
A970,Origin of rocks,https://www.ruthenia.ru/folklore/thompson/a.htm
A980,Origin of,https://www.ruthenia.ru/folklore/thompson/a.htm
A990,Other land,https://www.ruthenia.ru/folklore/thompson/a.htm
A1000,World,https://www.ruthenia.ru/folklore/thompson/a.htm
A1010,Deluge.,https://www.ruthenia.ru/folklore/thompson/a.htm
A1020,Escape from,https://www.ruthenia.ru/folklore/thompson/a.htm
A1030,World-fire.,https://www.ruthenia.ru/folklore/thompson/a.htm
A1040,Continuous winter,https://www.ruthenia.ru/folklore/thompson/a.htm
A1050,Heavens break up,https://www.ruthenia.ru/folklore/thompson/a.htm
A1070,Fettered monster’s escape at end of world.,https://www.ruthenia.ru/folklore/thompson/a.htm
A1080,Battle at end of,https://www.ruthenia.ru/folklore/thompson/a.htm
A1090,World calamities,https://www.ruthenia.ru/folklore/thompson/a.htm
A1100,Establishment of,https://www.ruthenia.ru/folklore/thompson/a.htm
A1110,Establishment of,https://www.ruthenia.ru/folklore/thompson/a.htm
A1120,Establishment of,https://www.ruthenia.ru/folklore/thompson/a.htm
A1129.1,Colors of,https://www.ruthenia.ru/folklore/thompson/a.htm
A1130,Establishment of,https://www.ruthenia.ru/folklore/thompson/a.htm
A1150,Determination of,https://www.ruthenia.ru/folklore/thompson/a.htm
A1160,Determination of,https://www.ruthenia.ru/folklore/thompson/a.htm
A1170,Origin of night,https://www.ruthenia.ru/folklore/thompson/a.htm
A1180,Establishment of,https://www.ruthenia.ru/folklore/thompson/a.htm
A1200,Creation of man.,https://www.ruthenia.ru/folklore/thompson/a.htm
A1210,Creation of man,https://www.ruthenia.ru/folklore/thompson/a.htm
A1220,Creation of man,https://www.ruthenia.ru/folklore/thompson/a.htm
A1230,Emergence or,https://www.ruthenia.ru/folklore/thompson/a.htm
A1240,Man made from,https://www.ruthenia.ru/folklore/thompson/a.htm
A1250,Man made from,https://www.ruthenia.ru/folklore/thompson/a.htm
A1260,Mankind made from,https://www.ruthenia.ru/folklore/thompson/a.htm
A1270,Primeval human,https://www.ruthenia.ru/folklore/thompson/a.htm
A1280,First man,https://www.ruthenia.ru/folklore/thompson/a.htm
A1290,Creation of man--other,https://www.ruthenia.ru/folklore/thompson/a.htm
A1300,Ordering of human,https://www.ruthenia.ru/folklore/thompson/a.htm
A1310,Arrangement of,https://www.ruthenia.ru/folklore/thompson/a.htm
A1320,Determination of,https://www.ruthenia.ru/folklore/thompson/a.htm
A1330,Beginnings of,https://www.ruthenia.ru/folklore/thompson/a.htm
A1350,Origin of sex,https://www.ruthenia.ru/folklore/thompson/a.htm
A1360,Man’s growth and maturity.,https://www.ruthenia.ru/folklore/thompson/a.htm
A1370,Origin of mental,https://www.ruthenia.ru/folklore/thompson/a.htm
A1390,Ordaining of,https://www.ruthenia.ru/folklore/thompson/a.htm
A1400,Acquisition of,https://www.ruthenia.ru/folklore/thompson/a.htm
A1410,Acquisition of,https://www.ruthenia.ru/folklore/thompson/a.htm
A1420,Acquisition of,https://www.ruthenia.ru/folklore/thompson/a.htm
A1430,Acquisition of,https://www.ruthenia.ru/folklore/thompson/a.htm
A1440,Acquisition of,https://www.ruthenia.ru/folklore/thompson/a.htm
A1460,Acquisition of,https://www.ruthenia.ru/folklore/thompson/a.htm
A1470,Beginning of,https://www.ruthenia.ru/folklore/thompson/a.htm
A1480,Acquisition of,https://www.ruthenia.ru/folklore/thompson/a.htm
A1490,Acquisition of,https://www.ruthenia.ru/folklore/thompson/a.htm
A1500,Origin of,https://www.ruthenia.ru/folklore/thompson/a.htm
A1510,Origin of eating,https://www.ruthenia.ru/folklore/thompson/a.htm
A1520,Origin of hunting,https://www.ruthenia.ru/folklore/thompson/a.htm
A1530,Origin of social,https://www.ruthenia.ru/folklore/thompson/a.htm
A1540,Origin of,https://www.ruthenia.ru/folklore/thompson/a.htm
A1550,Origin of customs,https://www.ruthenia.ru/folklore/thompson/a.htm
A1560,Origin of customs,https://www.ruthenia.ru/folklore/thompson/a.htm
A1570,Origin of,https://www.ruthenia.ru/folklore/thompson/a.htm
A1580,Origin of laws.,https://www.ruthenia.ru/folklore/thompson/a.htm
A1590,Origin of other,https://www.ruthenia.ru/folklore/thompson/a.htm
A1600,Distribution and,https://www.ruthenia.ru/folklore/thompson/a.htm
A1610,Origin of various,https://www.ruthenia.ru/folklore/thompson/a.htm
A1620,Distribution of,https://www.ruthenia.ru/folklore/thompson/a.htm
A1630,Wandering of,https://www.ruthenia.ru/folklore/thompson/a.htm
A1640,Origin of tribal,https://www.ruthenia.ru/folklore/thompson/a.htm
A1650,Origin of,https://www.ruthenia.ru/folklore/thompson/a.htm
A1660,Characteristics,https://www.ruthenia.ru/folklore/thompson/a.htm
A1670,Characteristics,https://www.ruthenia.ru/folklore/thompson/a.htm
A1680,Characteristics,https://www.ruthenia.ru/folklore/thompson/a.htm
A1690,Distribution and,https://www.ruthenia.ru/folklore/thompson/a.htm
A1700,Creation of,https://www.ruthenia.ru/folklore/thompson/a.htm
A1710,Creation of,https://www.ruthenia.ru/folklore/thompson/a.htm
A1730,Creation of,https://www.ruthenia.ru/folklore/thompson/a.htm
A1750,Animals created,https://www.ruthenia.ru/folklore/thompson/a.htm
A1770,Creation of,https://www.ruthenia.ru/folklore/thompson/a.htm
A1790,Creation of,https://www.ruthenia.ru/folklore/thompson/a.htm
