classification_system,classification_name
ATU,0015
ATU,0047a
ATU,0047e
ATU,0050
ATU,0057
ATU,0063
ATU,0066a
ATU,0068a
ATU,0091
ATU,0092
ATU,0105
ATU,0112
ATU,0122f
ATU,0130
ATU,0150
ATU,0154
ATU,0155
ATU,0156
ATU,0160
ATU,0178a
ATU,0207c
ATU,0231
ATU,0247
ATU,0278a
ATU,0280a
ATU,0285d
ATU,0311
ATU,0312
ATU,0326
ATU,0327
ATU,0328jack
ATU,0332
ATU,0333a
ATU,0335
ATU,0361
ATU,0366
ATU,0402
ATU,0425c
ATU,0451
ATU,0480
ATU,0503
ATU,0505
ATU,0510a
ATU,0510b
ATU,0555
ATU,0562
ATU,0571b
ATU,0592
ATU,0670
ATU,0675
ATU,0706
ATU,0720
ATU,0737
ATU,0750a
ATU,0756
ATU,0777ast
ATU,0779
ATU,0782
ATU,0845
ATU,0850
ATU,0888
ATU,0898
ATU,0910b
ATU,0920e
ATU,0926
ATU,1030
ATU,1066
ATU,1157
ATU,1161
ATU,1174
ATU,1175
ATU,1176
ATU,1191
ATU,1215
ATU,1287
ATU,1288a
ATU,1317
ATU,1319
ATU,1335a
ATU,1342
ATU,1423
ATU,1430
ATU,1451
ATU,1558
ATU,1586
ATU,1592
ATU,1620
ATU,1626
ATU,1641
ATU,1645
ATU,1645b
ATU,1676
ATU,1678
ATU,1791
ATU,1965
ATU,2022
ATU,2025
ATU,2030
ATU,2031c
ATU,2032
ATU,2033
ATU,2034d
ATU,2043
ATU,3000
ATU,4025
ATU,4080
ATU,5050
ATU,6010
ATU,6045
ATU,6070b
ATU,7070
Other classification,abduct
Other classification,aesopold
Other classification,aesopskids
Other classification,aging
Other classification,alibaba
Other classification,alpinedragons
Other classification,amleth
Other classification,animalindian
Other classification,arthur
Other classification,ashliman
Other classification,bald
Other classification,beowulf
Other classification,blkftcreation
Other classification,bogey
Other classification,britchange
Other classification,britishdragons
Other classification,bump
Other classification,cain
Other classification,cat
Other classification,censor
Other classification,changeling
Other classification,chinaflood
Other classification,creation-phil
Other classification,cupid
Other classification,dunvegan
Other classification,dwarfs
Other classification,edenhall
Other classification,england
Other classification,fairytheft
Other classification,fart
Other classification,faust
Other classification,flood-phil
Other classification,folklinks
Other classification,frog
Other classification,gefion
Other classification,genesis01-03
Other classification,gerchange
Other classification,godiva
Other classification,goldfowl
Other classification,greenknight
Other classification,grimm
Other classification,grimm015a
Other classification,grimm116a
Other classification,grimm200
Other classification,griselda
Other classification,hand
Other classification,havamal
Other classification,hog
Other classification,ireland
Other classification,japan
Other classification,japanlove
Other classification,japantales
Other classification,jataka
Other classification,jephthah
Other classification,kora
Other classification,legend562
Other classification,leprechaun
Other classification,longfellow
Other classification,lorelei
Other classification,lowell
Other classification,magdeburg
Other classification,magicbook
Other classification,man
Other classification,manykids
Other classification,mbuilder
Other classification,melusina
Other classification,merseburg
Other classification,midwife
Other classification,monkey
Other classification,mourn
Other classification,njal100
Other classification,nograves
Other classification,norway010
Other classification,norway034
Other classification,norway120
Other classification,norway133
Other classification,origins
Other classification,originunder
Other classification,paiute
Other classification,purbach
Other classification,sacrifice
Other classification,scanchange
Other classification,spraincharm
Other classification,whitehands
